platform,zone_id,zone_name,zone_type,store,product_id,product_name,current_price,original_price,discount,delivery_fee,delivery_time_min,delivery_time_max,rating
ubereats,azcapotzalco,Azcapotzalco,media,mcdonalds-walmart-azcapotzalco,papas_grandes,Papas grandes,69.0,69.0,,,,,4.5
ubereats,azcapotzalco,Azcapotzalco,media,mcdonalds-walmart-azcapotzalco,mcnuggets_10,McNuggets de Pollo 10 pzas,135.0,135.0,,,,,4.5
ubereats,azcapotzalco,Azcapotzalco,media,mcdonalds-walmart-azcapotzalco,mcpollo,McTrío mediano McPollo,99.0,99.0,,,,,4.5
ubereats,azcapotzalco,Azcapotzalco,media,mcdonalds-walmart-azcapotzalco,mcnuggets_6,McNuggets de Pollo 6 pzas,89.0,89.0,,,,,4.5
ubereats,azcapotzalco,Azcapotzalco,media,mcdonalds-walmart-azcapotzalco,coca_cola,Coca-Cola mediana,55.0,55.0,,,,,4.5
ubereats,lindavista,Lindavista,media,mcdonalds-parque-lindavista-1-planta-baja,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,169.0,169.0,,,,,4.6
ubereats,lindavista,Lindavista,media,mcdonalds-parque-lindavista-1-planta-baja,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.6
ubereats,lindavista,Lindavista,media,mcdonalds-parque-lindavista-1-planta-baja,mcnuggets_10,McTrio mediano McNuggets 10 pzas,139.0,139.0,,,,,4.6
ubereats,lindavista,Lindavista,media,mcdonalds-parque-lindavista-1-planta-baja,papas_grandes,Papas grandes,75.0,75.0,,,,,4.6
ubereats,lindavista,Lindavista,media,mcdonalds-parque-lindavista-1-planta-baja,mcpollo,McTrío mediano McPollo,99.0,99.0,,,,,4.6
ubereats,lindavista,Lindavista,media,mcdonalds-parque-lindavista-1-planta-baja,mcnuggets_6,McNuggets de Pollo 6 pzas,99.0,99.0,,,,,4.6
ubereats,lindavista,Lindavista,media,mcdonalds-parque-lindavista-1-planta-baja,coca_cola,Coca-Cola mediana,59.0,59.0,,,,,4.6
ubereats,san_pedro_pinos,San Pedro de los Pinos,media,mcdonalds-plaza-patriotismo,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.5
ubereats,san_pedro_pinos,San Pedro de los Pinos,media,mcdonalds-plaza-patriotismo,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,169.0,169.0,,,,,4.5
ubereats,san_pedro_pinos,San Pedro de los Pinos,media,mcdonalds-plaza-patriotismo,mcnuggets_10,McTrio mediano McNuggets 10 pzas,139.0,139.0,,,,,4.5
ubereats,san_pedro_pinos,San Pedro de los Pinos,media,mcdonalds-plaza-patriotismo,papas_grandes,Papas grandes,75.0,75.0,,,,,4.5
ubereats,san_pedro_pinos,San Pedro de los Pinos,media,mcdonalds-plaza-patriotismo,mcpollo,McPollo o Doble con Queso,129.0,129.0,,,,,4.5
ubereats,san_pedro_pinos,San Pedro de los Pinos,media,mcdonalds-plaza-patriotismo,mcnuggets_6,McNuggets de Pollo 6 pzas,99.0,99.0,,,,,4.5
ubereats,san_pedro_pinos,San Pedro de los Pinos,media,mcdonalds-plaza-patriotismo,coca_cola,Coca-Cola mediana,59.0,59.0,,,,,4.5
ubereats,iztapalapa,Iztapalapa,popular,mcdonalds-ermita-san-miguel,big_mac,McTrío Big Mac mediano+McFlurry Oreo,169.0,169.0,,,,,4.6
ubereats,iztapalapa,Iztapalapa,popular,mcdonalds-ermita-san-miguel,mcnuggets_10,McTrío McNuggets 10 Med,145.0,145.0,,,,,4.6
ubereats,iztapalapa,Iztapalapa,popular,mcdonalds-ermita-san-miguel,mcpollo,Elige entre McPollo o Hamburguesa Doble con Queso,289.0,289.0,,,,,4.6
ubereats,iztapalapa,Iztapalapa,popular,mcdonalds-ermita-san-miguel,papas_grandes,Papas grandes,69.0,69.0,,,,,4.6
ubereats,iztapalapa,Iztapalapa,popular,mcdonalds-ermita-san-miguel,cuarto_libra,Cuarto De Libra Con Queso,125.0,125.0,,,,,4.6
ubereats,iztapalapa,Iztapalapa,popular,mcdonalds-ermita-san-miguel,mcnuggets_6,McNuggets de Pollo 6 pzas,89.0,89.0,,,,,4.6
ubereats,iztapalapa,Iztapalapa,popular,mcdonalds-ermita-san-miguel,coca_cola,Coca-Cola mediana,49.0,49.0,,,,,4.6
ubereats,naucalpan,Naucalpan,popular,mcdonalds-san-mateo,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,159.0,159.0,,,,,4.6
ubereats,naucalpan,Naucalpan,popular,mcdonalds-san-mateo,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.6
ubereats,naucalpan,Naucalpan,popular,mcdonalds-san-mateo,mcnuggets_10,McTrio mediano McNuggets 10 pzas,139.0,139.0,,,,,4.6
ubereats,naucalpan,Naucalpan,popular,mcdonalds-san-mateo,papas_grandes,Papas grandes,69.0,69.0,,,,,4.6
ubereats,naucalpan,Naucalpan,popular,mcdonalds-san-mateo,mcpollo,McPollo o Doble con Queso,129.0,129.0,,,,,4.6
ubereats,naucalpan,Naucalpan,popular,mcdonalds-san-mateo,mcnuggets_6,McNuggets de Pollo 6 pzas,89.0,89.0,,,,,4.6
ubereats,naucalpan,Naucalpan,popular,mcdonalds-san-mateo,coca_cola,Coca-Cola mediana,55.0,55.0,,,,,4.6
ubereats,ecatepec,Ecatepec,popular,pollos-de-mcdonalds-ecatepec-las-americas,mcpollo,McTrío mediano McPollo,99.0,99.0,,,,,4.7
ubereats,ecatepec,Ecatepec,popular,pollos-de-mcdonalds-ecatepec-las-americas,mcnuggets_10,McNuggets de Pollo 10 pzas,135.0,135.0,,,,,4.7
ubereats,ecatepec,Ecatepec,popular,pollos-de-mcdonalds-ecatepec-las-americas,papas_grandes,Papas grandes,69.0,69.0,,,,,4.7
ubereats,ecatepec,Ecatepec,popular,pollos-de-mcdonalds-ecatepec-las-americas,coca_cola,Coca-Cola mediana,55.0,55.0,,,,,4.7
ubereats,gustavo_madero,Gustavo A. Madero,popular,mcdonalds-la-villa,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.7
ubereats,gustavo_madero,Gustavo A. Madero,popular,mcdonalds-la-villa,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,159.0,159.0,,,,,4.7
ubereats,gustavo_madero,Gustavo A. Madero,popular,mcdonalds-la-villa,mcnuggets_10,McTrio mediano McNuggets 10 pzas,139.0,139.0,,,,,4.7
ubereats,gustavo_madero,Gustavo A. Madero,popular,mcdonalds-la-villa,papas_grandes,Papas grandes,69.0,69.0,,,,,4.7
ubereats,gustavo_madero,Gustavo A. Madero,popular,mcdonalds-la-villa,mcpollo,McTrío mediano McPollo,99.0,99.0,,,,,4.7
ubereats,gustavo_madero,Gustavo A. Madero,popular,mcdonalds-la-villa,mcnuggets_6,McNuggets de Pollo 6 pzas,89.0,89.0,,,,,4.7
ubereats,gustavo_madero,Gustavo A. Madero,popular,mcdonalds-la-villa,coca_cola,Coca-Cola mediana,55.0,55.0,,,,,4.7
ubereats,tlahuac,Tláhuac,popular,mcdonalds-tlahuac-san-lorenzo,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.5
ubereats,tlahuac,Tláhuac,popular,mcdonalds-tlahuac-san-lorenzo,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,159.0,159.0,,,,,4.5
ubereats,tlahuac,Tláhuac,popular,mcdonalds-tlahuac-san-lorenzo,mcnuggets_10,McTrio mediano McNuggets 10 pzas,139.0,139.0,,,,,4.5
ubereats,tlahuac,Tláhuac,popular,mcdonalds-tlahuac-san-lorenzo,papas_grandes,Papas grandes,69.0,69.0,,,,,4.5
ubereats,tlahuac,Tláhuac,popular,mcdonalds-tlahuac-san-lorenzo,mcpollo,McPollo o Doble con Queso,129.0,129.0,,,,,4.5
ubereats,tlahuac,Tláhuac,popular,mcdonalds-tlahuac-san-lorenzo,mcnuggets_6,McNuggets de Pollo 6 pzas,89.0,89.0,,,,,4.5
ubereats,tlahuac,Tláhuac,popular,mcdonalds-tlahuac-san-lorenzo,coca_cola,Coca-Cola mediana,55.0,55.0,,,,,4.5
ubereats,xochimilco,Xochimilco,popular,mcdonalds-coaplaza,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.6
ubereats,xochimilco,Xochimilco,popular,mcdonalds-coaplaza,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,175.0,175.0,,,,,4.6
ubereats,xochimilco,Xochimilco,popular,mcdonalds-coaplaza,mcnuggets_10,McTrio mediano McNuggets 10 pzas,139.0,139.0,,,,,4.6
ubereats,xochimilco,Xochimilco,popular,mcdonalds-coaplaza,papas_grandes,Papas grandes,75.0,75.0,,,,,4.6
ubereats,xochimilco,Xochimilco,popular,mcdonalds-coaplaza,mcpollo,McPollo o Doble con Queso,129.0,129.0,,,,,4.6
ubereats,xochimilco,Xochimilco,popular,mcdonalds-coaplaza,mcnuggets_6,McNuggets de Pollo 6 pzas,105.0,105.0,,,,,4.6
ubereats,xochimilco,Xochimilco,popular,mcdonalds-coaplaza,coca_cola,Coca-Cola mediana,59.0,59.0,,,,,4.6
ubereats,iztacalco,Iztacalco,popular,mcdonalds-plutarco,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,159.0,159.0,,,,,4.6
ubereats,iztacalco,Iztacalco,popular,mcdonalds-plutarco,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.6
ubereats,iztacalco,Iztacalco,popular,mcdonalds-plutarco,mcnuggets_10,McTrio mediano McNuggets 10 pzas,139.0,139.0,,,,,4.6
ubereats,iztacalco,Iztacalco,popular,mcdonalds-plutarco,papas_grandes,Papas grandes,69.0,69.0,,,,,4.6
ubereats,iztacalco,Iztacalco,popular,mcdonalds-plutarco,mcpollo,McTrío mediano McPollo,99.0,99.0,,,,,4.6
ubereats,iztacalco,Iztacalco,popular,mcdonalds-plutarco,mcnuggets_6,McNuggets de Pollo 6 pzas,89.0,89.0,,,,,4.6
ubereats,iztacalco,Iztacalco,popular,mcdonalds-plutarco,coca_cola,Coca-Cola mediana,55.0,55.0,,,,,4.6
ubereats,nezahualcoyotl,Nezahualcóyotl,popular,mcdonalds-neza-guelatao,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.6
ubereats,nezahualcoyotl,Nezahualcóyotl,popular,mcdonalds-neza-guelatao,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,169.0,169.0,,,,,4.6
ubereats,nezahualcoyotl,Nezahualcóyotl,popular,mcdonalds-neza-guelatao,papas_grandes,Papas grandes,75.0,75.0,,,,,4.6
ubereats,nezahualcoyotl,Nezahualcóyotl,popular,mcdonalds-neza-guelatao,mcnuggets_10,McTrio mediano McNuggets 10 pzas,139.0,139.0,,,,,4.6
ubereats,nezahualcoyotl,Nezahualcóyotl,popular,mcdonalds-neza-guelatao,mcpollo,McPollo o Doble con Queso,129.0,129.0,,,,,4.6
ubereats,nezahualcoyotl,Nezahualcóyotl,popular,mcdonalds-neza-guelatao,mcnuggets_6,McNuggets de Pollo 6 pzas,99.0,99.0,,,,,4.6
ubereats,nezahualcoyotl,Nezahualcóyotl,popular,mcdonalds-neza-guelatao,coca_cola,Coca-Cola mediana,59.0,59.0,,,,,4.6
