platform,address_id,address_name,address_type,product_id,product_name,restaurant,product_price,delivery_fee,service_fee,total_price,delivery_time_min,delivery_time_max,delivery_time_avg,discount_text,available,scrape_timestamp
ubereats,condesa,Condesa,premium,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:32:04.740223+00:00
ubereats,condesa,Condesa,premium,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:32:39.991592+00:00
ubereats,condesa,Condesa,premium,coca_600,Coca-Cola 600ml,McDonald's,55.0,,,55.0,,,,,True,2026-03-27T14:33:11.930103+00:00
ubereats,condesa,Condesa,premium,agua_1l,Agua 1L,McDonald's,35.0,,,35.0,,,,,True,2026-03-27T14:33:43.013182+00:00
ubereats,roma_norte,Roma Norte,premium,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:34:16.899251+00:00
ubereats,roma_norte,Roma Norte,premium,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:34:47.793635+00:00
ubereats,roma_norte,Roma Norte,premium,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:35:19.648206+00:00
ubereats,roma_norte,Roma Norte,premium,coca_600,Coca-Cola 600ml,McDonald's,55.0,,,55.0,,,,,True,2026-03-27T14:35:51.695676+00:00
ubereats,roma_norte,Roma Norte,premium,agua_1l,Agua 1L,McDonald's,35.0,,,35.0,,,,,True,2026-03-27T14:36:25.152273+00:00
ubereats,del_valle,Del Valle,media,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:36:59.217275+00:00
ubereats,del_valle,Del Valle,media,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:37:29.129264+00:00
ubereats,del_valle,Del Valle,media,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:37:59.704303+00:00
ubereats,del_valle,Del Valle,media,coca_600,Coca-Cola 600ml,McDonald's,59.0,,,59.0,,,,,True,2026-03-27T14:38:30.224031+00:00
ubereats,del_valle,Del Valle,media,agua_1l,Agua 1L,McDonald's,39.0,,,39.0,,,,,True,2026-03-27T14:39:01.166920+00:00
ubereats,coyoacan,Coyoacán,media,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:39:37.003894+00:00
ubereats,coyoacan,Coyoacán,media,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:40:08.295950+00:00
ubereats,coyoacan,Coyoacán,media,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:40:40.126485+00:00
ubereats,coyoacan,Coyoacán,media,coca_600,Coca-Cola 600ml,McDonald's,59.0,,,59.0,,,,,True,2026-03-27T14:41:11.234884+00:00
ubereats,coyoacan,Coyoacán,media,agua_1l,Agua 1L,McDonald's,39.0,,,39.0,,,,,True,2026-03-27T14:41:42.562831+00:00
ubereats,santa_fe,Santa Fe,media,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:42:17.270527+00:00
ubereats,santa_fe,Santa Fe,media,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:42:48.316526+00:00
ubereats,santa_fe,Santa Fe,media,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:43:19.755851+00:00
ubereats,santa_fe,Santa Fe,media,coca_600,Coca-Cola 600ml,McDonald's,65.0,,,65.0,,,,,True,2026-03-27T14:43:52.301939+00:00
ubereats,santa_fe,Santa Fe,media,agua_1l,Agua 1L,McDonald's,39.0,,,39.0,,,,,True,2026-03-27T14:44:23.217035+00:00
ubereats,tlalpan,Tlalpan,media,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:44:58.547473+00:00
ubereats,tlalpan,Tlalpan,media,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:45:32.818660+00:00
ubereats,tlalpan,Tlalpan,media,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:45:52.426811+00:00
ubereats,tlalpan,Tlalpan,media,coca_600,Coca-Cola 600ml,McDonald's,59.0,,,59.0,,,,,True,2026-03-27T14:46:25.116615+00:00
ubereats,tlalpan,Tlalpan,media,agua_1l,Agua 1L,McDonald's,39.0,,,39.0,,,,,True,2026-03-27T14:46:57.960092+00:00
ubereats,iztapalapa,Iztapalapa,popular,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:47:32.854935+00:00
ubereats,iztapalapa,Iztapalapa,popular,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:48:02.502397+00:00
ubereats,iztapalapa,Iztapalapa,popular,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:48:33.214311+00:00
ubereats,iztapalapa,Iztapalapa,popular,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:48:53.386998+00:00
ubereats,iztapalapa,Iztapalapa,popular,agua_1l,Agua 1L,McDonald's,35.0,,,35.0,,,,,True,2026-03-27T14:49:24.863178+00:00
ubereats,naucalpan,Naucalpan,popular,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:50:00.091182+00:00
ubereats,naucalpan,Naucalpan,popular,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:50:30.779856+00:00
ubereats,naucalpan,Naucalpan,popular,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:51:04.819589+00:00
ubereats,naucalpan,Naucalpan,popular,coca_600,Coca-Cola 600ml,McDonald's,59.0,,,59.0,,,,,True,2026-03-27T14:51:34.418455+00:00
ubereats,naucalpan,Naucalpan,popular,agua_1l,Agua 1L,McDonald's,39.0,,,39.0,,,,,True,2026-03-27T14:52:05.751684+00:00
ubereats,ecatepec,Ecatepec,popular,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:52:27.725877+00:00
ubereats,ecatepec,Ecatepec,popular,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:52:49.323146+00:00
ubereats,ecatepec,Ecatepec,popular,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:53:08.601793+00:00
ubereats,ecatepec,Ecatepec,popular,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:53:28.389510+00:00
ubereats,ecatepec,Ecatepec,popular,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:53:47.612633+00:00
didifood,polanco,Polanco,premium,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:53:52.072547+00:00
didifood,polanco,Polanco,premium,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:53:53.615154+00:00
didifood,polanco,Polanco,premium,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:53:56.616396+00:00
didifood,polanco,Polanco,premium,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:53:59.616428+00:00
didifood,polanco,Polanco,premium,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:54:02.616890+00:00
didifood,condesa,Condesa,premium,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:54:08.618654+00:00
didifood,condesa,Condesa,premium,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:54:11.619743+00:00
didifood,condesa,Condesa,premium,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:54:14.620826+00:00
didifood,condesa,Condesa,premium,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:54:17.621431+00:00
didifood,condesa,Condesa,premium,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:54:20.622134+00:00
didifood,roma_norte,Roma Norte,premium,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:54:26.624632+00:00
didifood,roma_norte,Roma Norte,premium,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:54:29.625990+00:00
didifood,roma_norte,Roma Norte,premium,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:54:32.627163+00:00
didifood,roma_norte,Roma Norte,premium,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:54:35.628020+00:00
didifood,roma_norte,Roma Norte,premium,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:54:38.628933+00:00
didifood,del_valle,Del Valle,media,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:54:44.630965+00:00
didifood,del_valle,Del Valle,media,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:54:47.631975+00:00
didifood,del_valle,Del Valle,media,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:54:50.633454+00:00
didifood,del_valle,Del Valle,media,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:54:53.633651+00:00
didifood,del_valle,Del Valle,media,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:54:56.634342+00:00
didifood,coyoacan,Coyoacán,media,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:55:02.636655+00:00
didifood,coyoacan,Coyoacán,media,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:55:05.637655+00:00
didifood,coyoacan,Coyoacán,media,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:55:08.638421+00:00
didifood,coyoacan,Coyoacán,media,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:55:11.640139+00:00
didifood,coyoacan,Coyoacán,media,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:55:14.640647+00:00
didifood,santa_fe,Santa Fe,media,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:55:20.642594+00:00
didifood,santa_fe,Santa Fe,media,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:55:23.643648+00:00
didifood,santa_fe,Santa Fe,media,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:55:26.644605+00:00
didifood,santa_fe,Santa Fe,media,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:55:29.645006+00:00
didifood,santa_fe,Santa Fe,media,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:55:32.646092+00:00
didifood,tlalpan,Tlalpan,media,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:55:38.648290+00:00
didifood,tlalpan,Tlalpan,media,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:55:41.648568+00:00
didifood,tlalpan,Tlalpan,media,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:55:44.649795+00:00
didifood,tlalpan,Tlalpan,media,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:55:47.650766+00:00
didifood,tlalpan,Tlalpan,media,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:55:50.651946+00:00
didifood,iztapalapa,Iztapalapa,popular,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:55:56.654362+00:00
didifood,iztapalapa,Iztapalapa,popular,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:55:59.655404+00:00
didifood,iztapalapa,Iztapalapa,popular,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:56:02.656906+00:00
didifood,iztapalapa,Iztapalapa,popular,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:56:05.657923+00:00
didifood,iztapalapa,Iztapalapa,popular,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:56:08.659475+00:00
didifood,naucalpan,Naucalpan,popular,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:56:14.661108+00:00
didifood,naucalpan,Naucalpan,popular,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:56:17.662049+00:00
didifood,naucalpan,Naucalpan,popular,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:56:20.662913+00:00
didifood,naucalpan,Naucalpan,popular,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:56:23.663978+00:00
didifood,naucalpan,Naucalpan,popular,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:56:26.664792+00:00
didifood,ecatepec,Ecatepec,popular,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:56:32.665903+00:00
didifood,ecatepec,Ecatepec,popular,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:56:35.667455+00:00
didifood,ecatepec,Ecatepec,popular,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:56:38.668972+00:00
didifood,ecatepec,Ecatepec,popular,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:56:41.670208+00:00
didifood,ecatepec,Ecatepec,popular,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:56:44.671383+00:00
